record_id,sqs_score,category_scores_json,rules_hit,rules_missed,rules_not_applicable,violations_count,n_claims_extracted,n_consistency_failures,scored_at,analyzer_version,error
case_0001,20.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":65.0,""sample_power"":20.0}",GC002|PR002|RP001|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,38,4,0,2026-04-17T13:19:58+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0001,28.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":86.6667,""reproducibility"":40.0,""sample_power"":20.0}",GC002|PR001|PR002|PR003|PR004|PR005|PR007|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR006|PR008|RP001|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,34,8,0,2026-04-17T13:19:58+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0002,25.0000,"{""assumptions"":0.0,""effect_sizes"":20.0,""guidelines"":26.6667,""precision"":40.0,""reproducibility"":30.0,""sample_power"":33.3333}",ES010|GC002|PR001|PR002|PR007|RP003|RP004|SP001|SP005,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES011|GC001|GC003|GC004|GC005|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP006,,36,5,0,2026-04-17T13:19:58+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0002,12.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":40.0,""sample_power"":0.0}",GC002|PR002|RP003|RP004|RP007,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|SP001|SP002|SP003|SP004|SP005|SP006,,40,2,0,2026-04-17T13:19:58+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0003,24.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":75.0,""sample_power"":20.0}",GC002|PR002|PR007|RP001|RP003|RP004|RP005|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR008|RP002|RP006|SP002|SP003|SP004|SP005|SP006,,36,0,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0004,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|GC004|PR002|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,0,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0003,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":20.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|PR002|PR003|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,3,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0005,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":20.0}",GC002|PR002|RP003|RP004|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,40,2,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0006,10.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|PR002|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,41,0,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0004,6.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":10.0,""sample_power"":0.0}",GC002|PR002|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP003|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,42,0,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
